,sna,tot,sbi,sarea,mday,ar,bemp,act
673,YouBike2.0_麗山國小,15,0,內湖區,2023-06-03 08:15:04,內湖路一段411巷56號東側,15,1
675,YouBike2.0_港華五號公園,16,1,內湖區,2023-06-03 08:14:14,環山路二段81號西北側,15,1
680,YouBike2.0_文德三號公園(江南街71巷16弄),15,1,內湖區,2023-06-03 07:40:23,瑞光路271號東南側,14,1
682,YouBike2.0_康寧星雲街口,12,1,內湖區,2023-06-03 07:45:14,康寧路一段116號,11,1
684,YouBike2.0_捷運西湖站(1號出口),35,0,內湖區,2023-06-03 08:51:14,內湖路一段285巷15號(對面),35,1
685,YouBike2.0_捷運西湖站(2號出口),12,0,內湖區,2023-06-03 08:17:14,內湖路一段291號(對面),12,1
688,YouBike2.0_環山路二段26巷口,29,0,內湖區,2023-06-03 06:52:04,環山路二段/環山路二段26巷(西南側),29,1
693,YouBike2.0_陽光公園,16,1,內湖區,2023-06-03 08:50:20,陽光街與文德路220巷口西側,15,1
696,YouBike2.0_瑞陽公園,12,1,內湖區,2023-06-03 08:43:14,文德路22巷6號(對面),11,1
698,YouBike2.0_潭美街213號,12,1,內湖區,2023-06-03 08:11:04,潭美街213號南側,11,1
710,YouBike2.0_瑞光公共住宅(瑞光路),18,1,內湖區,2023-06-03 08:24:04,瑞光路160號,17,1
717,YouBike2.0_福華商場,20,0,內湖區,2023-06-03 08:40:10,民權東路六段/民權東路六段180巷(西南側),20,1
718,YouBike2.0_臺北市網球中心,16,1,內湖區,2023-06-03 08:02:15,民權東路六段208號(前),15,1
732,YouBike2.0_捷運港墘站(2號出口),47,0,內湖區,2023-06-03 08:52:14,內湖路一段520號,47,1
733,YouBike2.0_東湖國中,16,1,內湖區,2023-06-03 08:52:14,康樂街125巷4號(對面),15,1
736,YouBike2.0_康寧公園(北側),20,0,內湖區,2023-06-03 07:38:04,康寧路三段60號南側,20,1
756,YouBike2.0_金湖星雲街口,30,1,內湖區,2023-06-03 08:47:14,金湖路83號對側,29,1
758,YouBike2.0_民權東路六段190巷117弄口,15,1,內湖區,2023-06-02 21:37:14,民權東路六段190巷117弄15號對側,14,1
769,YouBike2.0_瑞光路76巷口,12,1,內湖區,2023-06-03 08:52:04,瑞光路102號前,11,1
771,YouBike2.0_新湖國小,12,1,內湖區,2023-06-03 08:52:04,民權東路六段/成功路二段320巷31弄(東南側),11,1
774,YouBike2.0_宏匯瑞光廣場(瑞光路),16,1,內湖區,2023-06-03 08:40:10,瑞光路353號前(瑞光路側人行道),15,1
